spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
"UTG open, CO call, SB 3bet","open, call, 3bet",3bet,preflop only,3,1775,0.0195,1,1774,0.06,7.75
"UTG open, HJ call, CO 3bet","open, call, 3bet",3bet,preflop only,3,1760,0.0194,0,1760,0.00,8.00
"BU open, SB 3bet, BB call, BU call","open, 3bet, call, call",3bet,postflop,3,1746,0.0192,1746,0,100.00,69.33
"UTG open, BB 3bet, UTG 4bet, BB call","open, 3bet, 4bet, call",4bet,mixed,2,1731,0.0190,1601,130,92.49,106.09
"HJ open, BU 3bet, BB call, HJ call","open, 3bet, call, call",3bet,postflop,3,1711,0.0188,1711,0,100.00,56.80
"HJ open, CO 3bet, BU call, HJ call","open, 3bet, call, call",3bet,postflop,3,1707,0.0188,1707,0,100.00,63.90
"UTG limp, BU limp, BB check","limp, limp, check",limped,postflop,3,1691,0.0186,1691,0,100.00,11.43
"CO open, BU 3bet, SB call","open, 3bet, call",3bet,postflop,3,1681,0.0185,1675,6,99.64,46.37
"HJ open, CO 3bet, SB 4bet","open, 3bet, 4bet",4bet,mixed,3,1642,0.0181,18,1624,1.10,18.33
"HJ open, CO call, BU 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,1634,0.0180,1629,5,99.69,51.11
"BU open, SB 3bet, BB 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,3,1626,0.0179,1556,70,95.69,100.21
"UTG open, HJ 3bet, BU call, UTG call","open, 3bet, call, call",3bet,postflop,3,1606,0.0177,1606,0,100.00,64.97
"CO open, SB 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,1575,0.0173,14,1561,0.89,22.14
"CO open, BU 3bet, SB call, CO call","open, 3bet, call, call",3bet,postflop,3,1574,0.0173,1574,0,100.00,60.34
"HJ open, BU 3bet, SB 4bet","open, 3bet, 4bet",4bet,mixed,3,1573,0.0173,25,1548,1.59,18.47
"UTG open, BU 3bet, BB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1572,0.0173,1572,0,100.00,59.31
"UTG open, HJ call, BU 3bet","open, call, 3bet",3bet,preflop only,3,1531,0.0168,4,1527,0.26,8.40
"HJ limp, BU limp, BB check","limp, limp, check",limped,postflop,3,1521,0.0167,1521,0,100.00,12.09
"HJ open, BU 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,1516,0.0167,6,1510,0.40,17.20
"HJ open, CO 3bet, BB call","open, 3bet, call",3bet,postflop,3,1505,0.0165,1503,2,99.87,44.35
"BU open, SB 3bet, BU 4bet, SB 5bet, BU call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1488,0.0164,1068,420,71.77,194.43
"UTG open, CO 3bet, BU call, UTG call","open, 3bet, call, call",3bet,postflop,3,1484,0.0163,1484,0,100.00,68.32
"HJ open, CO 3bet, SB call, HJ call","open, 3bet, call, call",3bet,postflop,3,1465,0.0161,1465,0,100.00,62.84
"HJ open, CO 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,1458,0.0160,11,1447,0.75,17.56
"CO open, BU call, BB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1451,0.0160,1445,6,99.59,64.34
"CO limp, BU iso","limp, iso",SRP,preflop only,2,1428,0.0157,0,1428,0.00,3.44
"UTG open, HJ 3bet, SB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1422,0.0156,1422,0,100.00,62.02
"CO open, BU 3bet, SB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,1413,0.0155,1377,36,97.45,99.17
"HJ open, BU call, SB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1387,0.0153,1383,4,99.71,65.43
"CO limp, BU limp, BB check","limp, limp, check",limped,postflop,3,1373,0.0151,1373,0,100.00,12.52
"HJ open, CO call, BB 3bet","open, call, 3bet",3bet,preflop only,3,1369,0.0151,1,1368,0.07,7.06
"UTG open, CO 3bet, SB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1363,0.0150,1363,0,100.00,61.30
"HJ open, BU 3bet, SB call, HJ call","open, 3bet, call, call",3bet,postflop,3,1359,0.0149,1359,0,100.00,61.28
"SB open, BB 3bet, SB 4bet, BB 5bet, SB call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1354,0.0149,960,394,70.90,192.87
