section,stat,segment,pool_freq_pct,n_opportunities,k_actions,low_n_flag,note
B. Flop,C-bet flop — size mix,large,100.0,234683,234683,,share of c-bets in each size bucket (freq column = 100% by construction; read N)
B. Flop,C-bet flop — size mix,pot,100.0,30791,30791,,share of c-bets in each size bucket (freq column = 100% by construction; read N)
B. Flop,C-bet flop — size mix,overbet,100.0,19499,19499,,share of c-bets in each size bucket (freq column = 100% by construction; read N)
B. Flop,Fold to flop c-bet,srp · HU · OOP,43.609,885354,386090,,
B. Flop,Fold to flop c-bet,srp · HU · IP,36.576,310869,113703,,
B. Flop,Fold to flop c-bet,3bet · HU · OOP,38.447,223654,85988,,
B. Flop,Fold to flop c-bet,3bet · HU · IP,35.517,195452,69418,,
B. Flop,Fold to flop c-bet,srp · MW · OOP,60.443,177815,107477,,
B. Flop,Fold to flop c-bet,srp · MW · IP,52.736,77594,40920,,
B. Flop,Fold to flop c-bet,3bet · MW · OOP,58.255,37269,21711,,
B. Flop,Fold to flop c-bet,4bet · HU · IP,28.832,36147,10422,,
B. Flop,Fold to flop c-bet,4bet · HU · OOP,31.892,18889,6024,,
B. Flop,Fold to flop c-bet,3bet · MW · IP,56.18,12928,7263,,
B. Flop,Fold to flop c-bet,4bet · MW · OOP,54.574,1257,686,,
B. Flop,Fold to flop c-bet,4bet · MW · IP,48.183,853,411,,
B. Flop,Fold to flop c-bet,5bet_plus · HU · OOP,31.629,528,167,,
B. Flop,Fold to flop c-bet,5bet_plus · HU · IP,28.09,445,125,LOW-N — don't trust,
B. Flop,Fold to flop c-bet,5bet_plus · MW · OOP,45.0,20,9,LOW-N — don't trust,
B. Flop,Fold to flop c-bet,5bet_plus · MW · IP,17.647,17,3,LOW-N — don't trust,
B. Flop,Fold to flop c-bet — by texture,two-tone/wet · OOP,42.896,390579,167542,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,dry-high · OOP,45.047,162291,73108,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,paired · OOP,47.326,151036,71479,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,two-tone/wet · IP,36.365,136902,49784,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,other · OOP,39.513,96111,37976,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,dry-high · IP,38.053,57891,22029,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,paired · IP,39.247,52987,20796,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,low-connected · OOP,37.561,43756,16435,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,monotone · OOP,47.017,41581,19550,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,other · IP,31.765,33055,10500,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,low-connected · IP,30.078,16241,4885,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by texture,monotone · IP,41.391,13793,5709,,"SRP heads-up only, to keep the texture split clean"
B. Flop,Fold to flop c-bet — by size faced,small,39.239,997979,391600,,
B. Flop,Fold to flop c-bet — by size faced,mid,54.317,195392,106132,,
B. Flop,Fold to flop c-bet — by size faced,large,68.923,2172,1497,,
B. Flop,Fold to flop c-bet — by size faced,pot,82.941,680,564,,
B. Flop,Raise flop c-bet,srp · HU,9.868,1196223,118046,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,3bet · HU,9.418,419106,39471,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,srp · multiway,5.858,255409,14963,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,4bet · HU,12.806,55036,7048,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,3bet · multiway,7.52,50197,3775,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,4bet · multiway,10.616,2110,224,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,5bet_plus · HU,14.183,973,138,,same denom as fold-to-c-bet
B. Flop,Raise flop c-bet,5bet_plus · multiway,8.108,37,3,LOW-N — don't trust,same denom as fold-to-c-bet
B. Flop,"Float-fold (call flop c-bet, fold turn)",srp · HU,21.741,584924,127168,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",3bet · HU,22.242,227909,50691,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",srp · multiway,24.982,93387,23330,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",4bet · HU,20.392,31969,6519,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",3bet · multiway,22.2,17851,3963,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",4bet · multiway,18.459,753,139,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",5bet_plus · HU,12.062,514,62,,
B. Flop,"Float-fold (call flop c-bet, fold turn)",5bet_plus · multiway,23.077,13,3,LOW-N — don't trust,
B. Flop,Donk-bet flop,srp · HU,5.277,1471075,77634,,
B. Flop,Donk-bet flop,srp · multiway,7.675,492974,37838,,
B. Flop,Donk-bet flop,3bet · HU,3.993,317871,12693,,
B. Flop,Donk-bet flop,limped · HU,28.386,144734,41084,,
B. Flop,Donk-bet flop,3bet · multiway,8.175,76964,6292,,
B. Flop,Donk-bet flop,limped · multiway,13.32,67341,8970,,
B. Flop,Donk-bet flop,4bet · HU,4.141,41999,1739,,
B. Flop,Donk-bet flop,5bet_plus · HU,0.445,19530,87,,
B. Flop,Donk-bet flop,4bet · multiway,10.169,3894,396,,
B. Flop,Donk-bet flop,5bet_plus · multiway,2.555,1996,51,,
B. Flop,Fold to donk (as PFR),srp · HU,42.234,221543,93567,,
B. Flop,Fold to donk (as PFR),srp · multiway,61.623,84652,52165,,
B. Flop,Fold to donk (as PFR),3bet · HU,33.54,44788,15022,,
B. Flop,Fold to donk (as PFR),3bet · multiway,56.813,9885,5616,,
B. Flop,Fold to donk (as PFR),4bet · HU,29.843,6427,1918,,
B. Flop,Fold to donk (as PFR),4bet · multiway,44.737,608,272,,
B. Flop,Fold to donk (as PFR),5bet_plus · HU,11.111,144,16,LOW-N — don't trust,
B. Flop,Fold to donk (as PFR),5bet_plus · multiway,7.407,54,4,LOW-N — don't trust,
B. Flop,Flop check-raise,srp · HU,9.675,1029263,99578,,
B. Flop,Flop check-raise,srp · multiway,5.208,286364,14914,,
B. Flop,Flop check-raise,3bet · HU,10.4,255749,26598,,
B. Flop,Flop check-raise,limped · HU,3.753,43405,1629,,
B. Flop,Flop check-raise,3bet · multiway,7.393,40876,3022,,
B. Flop,Flop check-raise,limped · multiway,3.141,26263,825,,
B. Flop,Flop check-raise,4bet · HU,15.426,23577,3637,,
B. Flop,Flop check-raise,4bet · multiway,10.867,1500,163,,
B. Flop,Flop check-raise,5bet_plus · HU,17.949,585,105,,
B. Flop,Flop check-raise,5bet_plus · multiway,5.66,53,3,LOW-N — don't trust,
B. Flop,Fold to flop raise (after betting),srp · HU,44.286,142688,63191,,
B. Flop,Fold to flop raise (after betting),3bet · HU,41.567,46469,19316,,
B. Flop,Fold to flop raise (after betting),srp · multiway,45.336,25075,11368,,
B. Flop,Fold to flop raise (after betting),4bet · HU,32.863,8292,2725,,
B. Flop,Fold to flop raise (after betting),3bet · multiway,39.392,5364,2113,,
B. Flop,Fold to flop raise (after betting),limped · HU,41.748,3605,1505,,
B. Flop,Fold to flop raise (after betting),limped · multiway,40.375,1761,711,,
B. Flop,Fold to flop raise (after betting),4bet · multiway,19.303,373,72,LOW-N — don't trust,
B. Flop,Fold to flop raise (after betting),5bet_plus · HU,17.47,166,29,LOW-N — don't trust,
B. Flop,Fold to flop raise (after betting),5bet_plus · multiway,0.0,7,0,LOW-N — don't trust,
C. Turn,Second barrel (turn c-bet),srp · HU,45.339,642997,291529,,
C. Turn,Second barrel (turn c-bet),3bet · HU,47.427,245393,116382,,
C. Turn,Second barrel (turn c-bet),srp · multiway,45.977,80158,36854,,
C. Turn,Second barrel (turn c-bet),4bet · HU,47.826,35173,16822,,
C. Turn,Second barrel (turn c-bet),3bet · multiway,43.25,15748,6811,,
C. Turn,Second barrel (turn c-bet),4bet · multiway,38.03,731,278,,
C. Turn,Second barrel (turn c-bet),5bet_plus · HU,34.934,604,211,,
C. Turn,Second barrel (turn c-bet),5bet_plus · multiway,18.75,16,3,LOW-N — don't trust,
C. Turn,Second barrel — size mix,large,100.0,195317,195317,,"read N, not the frequency"
C. Turn,Second barrel — size mix,mid,100.0,129360,129360,,"read N, not the frequency"
C. Turn,Second barrel — size mix,small,100.0,71116,71116,,"read N, not the frequency"
C. Turn,Second barrel — size mix,overbet,100.0,42268,42268,,"read N, not the frequency"
C. Turn,Second barrel — size mix,pot,100.0,30829,30829,,"read N, not the frequency"
C. Turn,Fold to turn c-bet,srp · HU · OOP,50.219,331159,166305,,
C. Turn,Fold to turn c-bet,srp · HU · IP,45.233,175472,79372,,
C. Turn,Fold to turn c-bet,3bet · HU · IP,42.016,83935,35266,,
C. Turn,Fold to turn c-bet,3bet · HU · OOP,47.502,78053,37077,,
C. Turn,Fold to turn c-bet,srp · MW · OOP,61.485,65826,40473,,
C. Turn,Fold to turn c-bet,srp · MW · IP,54.538,34191,18647,,
C. Turn,Fold to turn c-bet,4bet · HU · IP,37.269,14967,5578,,
C. Turn,Fold to turn c-bet,3bet · MW · OOP,54.266,10701,5807,,
C. Turn,Fold to turn c-bet,4bet · HU · OOP,40.096,6639,2662,,
C. Turn,Fold to turn c-bet,3bet · MW · IP,52.054,4309,2243,,
C. Turn,Fold to turn c-bet,4bet · MW · OOP,41.88,351,147,LOW-N — don't trust,
C. Turn,Fold to turn c-bet,4bet · MW · IP,47.186,231,109,LOW-N — don't trust,
